FREQ;Frequency;TENOR;Tenor;DECIMALS;TIME_PERIOD;OBS_VALUE
B;Business;2Y;2 years;3;2020-11-12;0.219
B;Business;2Y;2 years;3;2020-11-13;0.202
B;Business;2Y;2 years;3;2020-11-16;0.21
B;Business;2Y;2 years;3;2020-11-17;0.22
B;Business;2Y;2 years;3;2020-11-18;0.219
B;Business;2Y;2 years;3;2020-11-19;0.219
B;Business;2Y;2 years;3;2020-11-20;0.221
B;Business;2Y;2 years;3;2020-11-23;0.22
B;Business;2Y;2 years;3;2020-11-24;0.219
B;Business;2Y;2 years;3;2020-11-25;0.215
B;Business;2Y;2 years;3;2020-11-26;0.218
B;Business;2Y;2 years;3;2020-11-27;0.217
B;Business;2Y;2 years;3;2020-11-30;0.22
B;Business;2Y;2 years;3;2020-12-01;0.223
B;Business;2Y;2 years;3;2020-12-02;0.225
B;Business;2Y;2 years;3;2020-12-03;0.22
B;Business;2Y;2 years;3;2020-12-04;0.22
B;Business;2Y;2 years;3;2020-12-07;0.22
B;Business;2Y;2 years;3;2020-12-08;0.221
B;Business;2Y;2 years;3;2020-12-09;0.231
B;Business;2Y;2 years;3;2020-12-10;0.228
B;Business;2Y;2 years;3;2020-12-11;0.222
B;Business;2Y;2 years;3;2020-12-14;0.242
B;Business;2Y;2 years;3;2020-12-15;0.231
B;Business;2Y;2 years;3;2020-12-16;0.238
B;Business;2Y;2 years;3;2020-12-17;0.252
B;Business;2Y;2 years;3;2020-12-18;0.275
B;Business;2Y;2 years;3;2020-12-21;0.265
B;Business;2Y;2 years;3;2020-12-22;0.263
B;Business;2Y;2 years;3;2020-12-23;0.28
B;Business;2Y;2 years;3;2020-12-28;0.274
B;Business;2Y;2 years;3;2020-12-29;0.275
B;Business;2Y;2 years;3;2020-12-30;0.278
B;Business;2Y;2 years;3;2021-01-04;0.264
B;Business;2Y;2 years;3;2021-01-05;0.252
B;Business;2Y;2 years;3;2021-01-06;0.264
B;Business;2Y;2 years;3;2021-01-07;0.27
B;Business;2Y;2 years;3;2021-01-08;0.28
B;Business;2Y;2 years;3;2021-01-11;0.293
B;Business;2Y;2 years;3;2021-01-12;0.319
