Period\Time Series:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y7M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y11M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y10M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y7M
2006-10-18,3.521094475048986,3.52544060203338,3.6620589054137915,3.734107910006866,3.566399249445114,3.677514237137486,3.656765996443948,3.598598952176214,3.7476520115044734,3.6849855114756975,3.7361025703855777,3.6594207407983497,3.5254225055590904,3.5741024907183943,3.6825148490395567,3.533940075964457,3.5793984610440925,3.626657845623735,3.5258221521198347,3.5639081948999762
2006-10-17,3.525478795177579,3.526644294819548,3.648117003805961,3.7199065184198554,3.5574497196643478,3.663323703365922,3.6429364914499103,3.5871076997301903,3.733635067611192,3.670715284174112,3.7219241304247412,3.645533065492419,3.525886358670297,3.5644231536065467,3.6682681491768117,3.5299283470441387,3.5692681666924058,3.613761385021343,3.528434403687813,3.5552162576974458
2006-10-16,3.5419632911408514,3.5480245785425524,3.675358653420696,3.748537622356864,3.5827079472958254,3.6908572981363674,3.670078361274321,3.6131182822079273,3.7625390328695367,3.6983907195801993,3.7505951308606336,3.6727249805223483,3.5477971806088786,3.5898814900123384,3.6958966100504753,3.553816839351424,3.5948547126527894,3.6403314206530775,3.54842235680217,3.580405355588279
2006-10-13,3.5467212918252677,3.5547632286444184,3.672340107280149,3.7420131185002212,3.585947500576673,3.687009993925373,3.6673538175517453,3.6140009477016894,3.75545288305842,3.6941582992726443,3.7439860594838787,3.6698523151021045,3.55462847725863,3.592527617226589,3.6917904413773543,3.559863029084785,3.5971045316625507,3.639383455807905,3.5547025705457416,3.5838414749783842
2006-10-12,3.5319024193047035,3.537026794308114,3.648117155085792,3.7192549285677354,3.5625805920855633,3.6629832081995994,3.643080093993019,3.589828510119599,3.7331154653970984,3.6702508490441312,3.721287145159397,3.645602978171472,3.5363482234540156,3.5688938700481843,3.6678418111491347,3.538799418638319,3.573318423381333,3.614996668294773,3.5381032439926368,3.560574156896222
2006-10-11,3.5347158307059456,3.540138499666612,3.647772723684702,3.7194112087500866,3.563274607928156,3.6626679902908776,3.6427361274413466,3.589887769743343,3.7334651332555135,3.6699656285516378,3.7214700112614474,3.6452580972210926,3.539348881245881,3.5693987598456416,3.6675455466527445,3.540795433751414,3.5737085187049935,3.6147639963335965,3.5413171005015336,3.5613356705267005
2006-10-10,3.5240968322121526,3.5260657280824623,3.6359784959359582,3.710352275110598,3.5481333370123966,3.651458090279209,3.630742694028747,3.5757754129088757,3.7249193938965695,3.6590392050577507,3.712486749921423,3.6333645089247724,3.5248663603837893,3.5544839100404433,3.6565253272966367,3.525156773651532,3.5589582579816046,3.6016522819108516,3.528317467502019,3.546125285366671
2006-10-09,3.503717340437821,3.499577914986447,3.605582881922839,3.681618910371692,3.5167748135924723,3.6213800358557466,3.6002445091570983,3.544446217590277,3.6965415007251767,3.6291234227046703,3.6838050317341673,3.6029173497861655,3.4976042299758636,3.523081627013657,3.6265552925180637,3.4950075949870074,3.52754816737998,3.570644067378952,3.503755347576708,3.5147908787124433
2006-10-06,3.479070306244344,3.4663540758536615,3.5824597725105782,3.663491599408039,3.4848455615045535,3.599450872680453,3.576697290710233,3.5157356250445133,3.6791905683039126,3.607747593272323,3.6657952950876647,3.5795838185790596,3.463613789951869,3.4919398152686516,3.6049982053338296,3.4599635744924537,3.4969425855242875,3.5445378457925494,3.472857452226709,3.482605752900583
2006-10-05,3.4817767749713813,3.4645407301877316,3.5462932466961408,3.623764475556978,3.4627308879507317,3.5621064736371943,3.5409902180378565,3.4872580815615657,3.639316221029579,3.569918389753605,3.626036575433006,3.543642637876897,3.4605571171130127,3.468078615300621,3.567323350522006,3.4485593584346694,3.471973703481967,3.512033291164772,3.4732631569946255,3.461095234251215
