FREQ;Frequency;INSTRUMENT_TYPE;Instrument Type;TENOR;Tenor;UNIT_MEASURE;Unit of Measure;COLLECTION;DECIMALS;TIME_PERIOD;OBS_VALUE;CALC_METHOD;Calculation Method
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-17;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-18;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-21;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-22;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-23;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-28;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-29;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-30;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-31;0;A;Alternative method
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-04;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-05;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-06;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-07;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-08;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-11;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-12;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-13;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-14;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-15;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-18;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-19;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-20;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-21;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-22;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-25;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-26;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-27;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-28;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-01-29;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-02-01;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-02-02;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2021-02-03;0;N;Normal
