Period\Time Series:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y7M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y7M
2014-07-18,0.2809308819310674,-0.018152274873450835,1.4102046536103598,-0.020511655547067242,0.8249104427707437,0.2530734400679133,-0.016845966971289705,0.17438107141061288,0.7137493059102669,1.2134238080013473,-0.02210443772419346,1.2546141726735316,-0.02127315532010421,0.031175195679663315,1.1713686403480326,1.321265132485868,0.05587463538162396,0.4911417547610277,1.240982052518227
2014-07-17,0.288112342682072,-0.030387099612650514,1.4333682496911235,-0.032038091830758564,0.8412687867302484,0.2595647452053349,-0.02380452236673225,0.1786520472731672,0.728615413204361,1.2343968312769809,-0.032937129900389994,1.276047638134207,-0.029470376055942715,0.029212844360707813,1.191868678378051,1.3434400908252124,0.05539029794583694,0.5025689145680063,1.262263384448671
2014-07-16,0.2923673604808039,-0.021021273461089507,1.4606507070288135,-0.023437263810841102,0.857288197158578,0.2633230128380921,-0.01924722950108615,0.1811999174178478,0.7421653248805731,1.2583591593468917,-0.025051156631709315,1.3007546969569166,-0.023975883724872915,0.03133286912228872,1.215046960440132,1.3692992420786334,0.057239438041249535,0.5111454056503337,1.2867266154480141
2014-07-15,0.286598808931644,-0.027604414783138687,1.4545241793818402,-0.029855978112740544,0.85013871176153,0.2576513635775495,-0.024841527969109656,0.17578942525652508,0.7351664765831032,1.2514837131333572,-0.031318147368926574,1.2939963426871461,-0.029752458363510925,0.026148476255925868,1.2080716049686533,1.3627731611940526,0.05207452239098753,0.5046799615502247,1.2799273439027257
2014-07-14,0.2992725090994739,-0.017749655255439478,1.4848325474713011,-0.020155323351811916,0.8715117193948467,0.2698988055324181,-0.01576328896771262,0.18686722611309747,0.7547519224923418,1.2789229009514465,-0.02175425954766741,1.322051357343617,-0.020572786000126797,0.03540486278489574,1.2348750925577079,1.391808710401767,0.06158641220062666,0.5206751520257695,1.3077793325557163
2014-07-11,0.29240134225700043,-0.026081117357276362,1.4742430291318884,-0.028249760499623466,0.8618957556958575,0.2631690393208359,-0.02263153190284628,0.18049670498958736,0.7456162950463119,1.2682997980996795,-0.029628372893688137,1.3113991691036562,-0.0277200649855458,0.029226833158156218,1.224299377057691,1.3811482802763582,0.055471645430898775,0.512666961649388,1.2971348135119563
2014-07-10,0.2861071063854297,-0.024583571111500557,1.466661007513836,-0.027083843638695093,0.8539108296647813,0.2570789717817563,-0.02354664308353982,0.1751166080050881,0.737749841788994,1.2604197098843013,-0.028785120380316,1.3035691485750442,-0.02808165820471098,0.02618219148701284,1.2163751646473004,1.373413258441671,0.05183546885420487,0.5053251976228665,1.2892874823282208
2014-07-09,0.29985375686165927,-0.02197174575889793,1.5003847373966073,-0.024275396908934876,0.8783412910696891,0.27017792105946103,-0.01915364995771318,0.18627975005570274,0.7602050426308979,1.2912069223695406,-0.02577193358500729,1.3349860837377765,-0.024175248770163638,0.03302208734353318,1.2465111143753171,1.405832243854177,0.059562937634009216,0.5235508497934571,1.3204968961433314
2014-07-08,0.2953207032956531,-0.023156292171173654,1.504615649630888,-0.025767943033958574,0.8775759026489629,0.2655294595946618,-0.02236129832585254,0.18140501684115407,0.7585421094721143,1.29374253662092,-0.02755575528594134,1.3378773717115715,-0.02696683014551171,0.02856107204095304,1.2486837402549487,1.409298596065189,0.05487725383435471,0.5202346407566649,1.3232704749464235
2014-07-07,0.313555746513801,-0.01864556771489667,1.5447733818341796,-0.02113229359106983,0.9094305947806598,0.282880061536237,-0.016302486533625427,0.19610791507229486,0.7880918416387477,1.3318683652520376,-0.02277364239644797,1.3764973727196894,-0.021403196318338757,0.037506712476298,1.2862694706011322,1.4486427831380304,0.06496498490451952,0.5444697615944563,1.361730798070747
2014-07-04,0.30886106264587543,-0.021609864702204273,1.5402723451380824,-0.02419348371702501,0.904745919095336,0.27820743199678866,-0.01993634692138313,0.19152876229875648,0.7833720778000091,1.327319561484944,-0.025927708281590967,1.3719606495790533,-0.02489109001814027,0.03336247893973887,1.281707471475933,1.444123489217028,0.06069598865364334,0.5397131852634702,1.3571901776428703
2014-07-03,0.3362462283193013,-0.02018358297370737,1.5910573293090824,-0.022013662698264103,0.9470987992782991,0.30448568342044435,-0.012561619503508314,0.214322771743217,0.8233759538733292,1.3759577076813576,-0.022996693605356278,1.4211050319085867,-0.01898393069051485,0.04712278447395901,1.3297979372788946,1.494023607703058,0.07649188029215193,0.5740730340868092,1.40617032587192
2014-07-02,0.33493202288551593,-0.010964667308981824,1.5637978382242776,-0.012866105160691976,0.9323907195810319,0.30392854852273565,-0.00434115225181797,0.21597214617225458,0.8112446721906519,1.3527333300327777,-0.01393694400563561,1.397020388806773,-0.010427966377531739,0.05326975282458335,1.307460279147488,1.4685643349739719,0.08178047753319628,0.5673226138064686,1.382369487612423
2014-07-01,0.3202518619078152,-0.018366219553902496,1.5348163571811249,-0.020301846620007336,0.9093503085361805,0.28976261098805356,-0.012367288076973626,0.2033249596941209,0.7896874397213045,1.325374940964668,-0.021420547147141367,1.369288031706465,-0.018228233916618652,0.043789324208011404,1.280501291371829,1.440264278668634,0.07169133881514167,0.5490677663772523,1.3547589798945205
2014-06-30,0.3428535442569025,-0.010972785732794588,1.5451955886970516,-0.012046169591061417,0.9286260136034032,0.31224659490414197,0.0010318176719161798,0.22514716467636475,0.8101934919120524,1.339121940389993,-0.012336139276633684,1.382358178393833,-0.006147394604303802,0.06181669715436655,1.2949232684532594,1.452207215087511,0.09084282534430344,0.5713446234949338,1.3680548325229527
2014-06-27,0.3442280905010735,-0.014252913056298055,1.5446220653827076,-0.015081795326246539,0.9297120704890549,0.3135570684785147,-0.0005296067394167103,0.22618441191840155,0.8114851331626989,1.3391893456487889,-0.015136184265881703,1.3822970563854389,-0.008089820846289175,0.06162412202047296,1.2951184905178712,1.4519315658399972,0.09099578091296401,0.572866813483067,1.3680366017698766
2014-06-26,0.32709598394257,-0.02265057619569788,1.5345243418450547,-0.024022923459431578,0.9149460605852413,0.2964525077088753,-0.012646000796195267,0.20934360431213772,0.7959795433329759,1.3274295299153982,-0.02459694449283445,1.3708801031314373,-0.019404643001151634,0.04678847229115579,1.2830120383647854,1.4410755362877845,0.07553210926645981,0.55618030667776,1.356505832076036
2014-06-25,0.3334154311094162,-0.01953687739729215,1.5667238927412441,-0.021164858632394257,0.9336107998309897,0.30218479490694516,-0.010896538916608467,0.21348112804799424,0.8120588906032475,1.355125455980228,-0.021968627919175976,1.3995249306054323,-0.01745235347459806,0.048570626862059374,1.3097364710574908,1.4712494203301372,0.07761741734961802,0.5671420908727711,1.3848369246239276
